,review_stars,reveiw_buy_site,review_name,review_date,review_title,review_text
0,평점5,술픽,moon****,23.06.11.,그럭저럭 먹을만합니다. 가성비는 잘모르겠어용,그럭저럭 먹을만합니다. 가성비는 잘모르겠어용
1,평점5,술픽,suna****,23.06.11.,진하고 맛있었어요 엄마도 맛있댔음,진하고 맛있었어요 엄마도 맛있댔음
2,평점5,술픽,kimw****,23.06.10.,"배송도 빠르고, 포장도 꼼꼼하게어느 부분 파손되지 않고 왔습니다.잘 마실게요!","배송도 빠르고, 포장도 꼼꼼하게
어느 부분 파손되지 않고 왔습니다.
잘 마실게요!"
3,평점5,술픽,dasi****,23.06.10.,걸죽한 점도 . 탄산이 낮음. 신맛도 거의 안남 도수가 12라 은근 취기가 늦게 오름,걸죽한 점도 . 탄산이 낮음. 신맛도 거의 안남 도수가 12라 은근 취기가 늦게 오름
4,평점5,술마켓,hakb****,23.06.10.,배송도 안전하고 빠르게 보내주시고가격도 만족합니다,"배송도 안전하고 빠르게 보내주시고
가격도 만족합니다"
5,평점5,술픽,jbhs****,23.06.10.,최고의상품 감사합니다,최고의상품 감사합니다
6,평점5,술팜 전통주 쇼핑몰,yong****,23.06.10.,걸쭉하니 요거트같아요,걸쭉하니 요거트같아요
7,평점5,DOSU,call****,23.06.10.,꾸덕하고 진득하고부드러운 맛이 좋았습니다,"꾸덕하고 진득하고
부드러운 맛이 좋았습니다"
8,평점5,술픽,qaz2****,23.06.09.,바쁘신 우리아버님 참으로 드시게 주문했는데 옛생각나게 하는 막걸리라시며 좋아하시네요~,"바쁘신 우리아버님 참으로 드시게 주문했는데
옛생각나게 하는 막걸리라시며 좋아하시네요~"
9,평점5,술픽,busi****,23.06.09.,제사술로 올려드리고 음복했는데 맛이 묵직하면서 달았습니다. 조상님들도 마음에 들어하셨을꺼라 생각합니다. 감사합니다.,제사술로 올려드리고 음복했는데 맛이 묵직하면서 달았습니다. 조상님들도 마음에 들어하셨을꺼라 생각합니다. 감사합니다.
10,평점5,술픽,bane****,23.06.09.,진하면서도 청량하네요 더 걸쭉한거 만들어주세요,진하면서도 청량하네요 더 걸쭉한거 만들어주세요
11,평점5,술픽,wnsa****,23.06.09.,해창 매번 맛있게 먹고 있어용,해창 매번 맛있게 먹고 있어용
12,평점5,우리술상회,free****,23.06.08.,해창은 언제나 좋아요,해창은 언제나 좋아요
13,평점4,마깨주 전통주,psb1****,23.06.08.,배송이 잘 왔습니다,배송이 잘 왔습니다
14,평점5,술픽,ukno****,23.06.07.,가끔 가다 생각나는 막걸리 맛.. ㅋ도수 낮은걸로 담에 다시 사볼개요!!,"가끔 가다 생각나는 막걸리 맛.. ㅋ
도수 낮은걸로 담에 다시 사볼개요!!"
15,평점5,술픽,oztr****,23.06.07.,맛있습니다. 종종 시켜먹을게요.,맛있습니다. 종종 시켜먹을게요.
16,평점5,술픽,kjnj****,23.06.07.,40년전 옛날 그 맛이네요,40년전 옛날 그 맛이네요
17,평점5,술마켓,purp****,23.06.06.,맛있고 만족해요~~~~,맛있고 만족해요~~~~
