,review_stars,reveiw_buy_site,review_name,review_date,review_title,review_text
0,평점5,인터파크쇼핑,l*u*****,23.06.11.,막걸리는 느린마을,항상 막걸리 생각날때엔 느린마을로 시켜요 숙성해서 마시면 맛있어요 근데 단맛을 싫어하는 분께는 비추ㅋ
1,평점5,AK몰,duck****,23.06.11.,4계절 유통기한 상관 ...,4계절 유통기한 상관없이 냉장고에서 숙성시킬수록 더 많있습니다.
2,평점5,배상면주가 포천LB,hwan****,23.06.11.,배송도 바르고 느린마을이야 항상 만족,배송도 바르고 느린마을이야 항상 만족
3,평점5,배상면주가 포천LB,jyso****,23.06.11.,신선하고 숙취 적으며 맛 좋습니다.,신선하고 숙취 적으며 맛 좋습니다.
4,평점5,인터파크쇼핑,f*u*****,23.06.11.,맛이 달라졌네요,달고 싱겁고 우유같은 맛이 많이 나게 바뀌었네요. 잔도 맘에 드는데 맛이 바뀌어 당황스럽습니다. 몇주 지나니 단맛이 빠지는데 그래도 여전히 싱겁고 우유같은 느낌은 안바뀌네요. 다음에 다시 먹어봐야겠네요
5,평점5,AK몰,1074****,23.06.11.,배송도 빠르고 제품도...,배송도 빠르고 제품도 좋아요
6,평점5,홈술닷컴,epst****,23.06.11.,맛있어요 진하네요~^^,맛있어요 진하네요~^^
7,평점5,AK몰,1073****,23.06.10.,숙성해서 먹으면 더 ...,숙성해서 먹으면 더 맛있어요. 그리고 1리터짜리 다시 판매해주세요.
8,평점5,AK몰,1074****,23.06.10.,저렴하게 구매했습니 ...,저렴하게 구매했습니다 10일 기다리고 먹으니 너무 맛나네요
9,평점5,AK몰,lse2****,23.06.10.,포장이 잘 되었어요 ...,포장이 잘 되었어요 막걸리 좋아하시는 분 적극 추천...
10,평점5,AK몰,1073****,23.06.10.,역시 느린마을 막걸리...,역시 느린마을 막걸리네요 종종시켜 먹어요
11,평점5,AK몰,1073****,23.06.10.,막걸리를 배송 받을수...,막걸리를 배송 받을수 있어서 좋은거 같아요
12,평점5,AK몰,1073****,23.06.10.,포장이 잘되어 있어서...,포장이 잘되어 있어서 좋은거 같아요
13,평점5,인터파크쇼핑,g*r*****,23.06.10.,좋은사람,좋은사람이랑 조은술 감사합니다
14,평점5,AK몰,1073****,23.06.10.,가격대비 괜찮은 상품...,가격대비 괜찮은 상품입니다
15,평점5,AK몰,1074****,23.06.10.,역시나 달달하고 맛있...,역시나 달달하고 맛있네요
16,평점5,AK몰,1074****,23.06.10.,재구매.. 저렴하게 구...,재구매.. 저렴하게 구매했습니다 10일 기다리고 먹으니 너무 맛나네요
17,평점5,AK몰,1073****,23.06.10.,건강에 좋을듯,건강에 좋을듯
18,평점5,옥션,g*r*****,23.06.09.,목 넘김도 좋고 맛있고 좋아요 만족합니다.,목 넘김도 좋고 맛있고 좋아요 만족합니다.
19,평점5,G마켓,m*h*****,23.06.09.,부모,부모님이 좋아하시네요 두번째주문
20,평점5,옥션,c*g*****,23.06.09.,잘받았어요 막걸리 맛있습니다,잘받았어요 막걸리 맛있습니다
21,평점5,인터파크쇼핑,c*y*****,23.06.09.,추천합니다,맛도 좋고 잔도 마음에 듭니다
22,평점5,옥션,t*c*****,23.06.09.,잘받았습니다 많이파세요,"잘받았습니다
많이파세요"
23,평점5,인터파크쇼핑,j*e*****,23.06.09.,비싼거빼고 좋아요,예전에 1리터 용량이 있다고들었는데 큰용량이 나왔으면 좋겠네요... 가격은 비싸요...
24,평점5,AK몰,shei****,23.06.09.,좋아요 추천합니다. ...,좋아요 추천합니다. 맛있어요.젤 좋아하는맛. 시간이 갈수록 맛이 바뀌는것도 좋아요
25,평점5,옥션,d*w*****,23.06.08.,가격은 좀 나가지만 맛과 재료에서 충분히 좋아서 자주 ...,가격은 좀 나가지만 맛과 재료에서 충분히 좋아서 자주 애용하고 선물합니다.
26,평점4,옥션,b*u*****,23.06.08.,전용잔도 맘에 들고 가성비 괜찮고 맛도 좋아요...자주...,전용잔도 맘에 들고 가성비 괜찮고 맛도 좋아요...자주 구매 할게요.
27,평점5,AK몰,sunr****,23.06.08.,정말 제대로된 막걸리...,정말 제대로된 막걸리를 좋은 가격에 구매하게 되어 감사합니다.
28,평점5,배상면주가 포천LB,rhlq****,23.06.08.,항상 아부지가 드시는거 꾸준히 구매하고 있습니다.,항상 아부지가 드시는거 꾸준히 구매하고 있습니다.
29,평점5,옥션,m*7*****,23.06.08.,배송 빠르게 잘 받았어요 두번째 구매입니다,"배송 빠르게 잘 받았어요
두번째 구매입니다"
30,평점5,홈술닷컴,aeya****,23.06.08.,한번씩 먹고싶을때마다 주문해서 먹어요,한번씩 먹고싶을때마다 주문해서 먹어요
31,평점5,배상면주가 포천LB,rhlq****,23.06.08.,떨어질때면 항상 구매하고 있어요.,떨어질때면 항상 구매하고 있어요.
32,평점5,옥션,s*h*****,23.06.08.,집앞 배송에 저렴하고 좋으네요~~,집앞 배송에 저렴하고 좋으네요~~
33,평점4,G마켓,y*i*****,23.06.08.,느린,예전에 자주 시켜먹었는데 가격이 오르면서 거의 1년만에 다시 주문하네요맛은 좋은데 가격이 ㅠ
34,평점4,옥션,2*7*****,23.06.08.,아스파탐이 안들어있는 막걸리,아스파탐이 안들어있는 막걸리
35,평점5,배상면주가 포천LB,sooj****,23.06.08.,맛있었어요재구매할께요,맛있었어요재구매할께요
36,평점5,옥션,m*h*****,23.06.08.,재구매 입니다 맛있어요,재구매 입니다 맛있어요
37,평점4,옥션,l*y*****,23.06.08.,신맛이 덜한게 좋아요,신맛이 덜한게 좋아요
38,평점5,홈술닷컴,tlsd****,23.06.08.,아주맛이 죽여줘요~~,아주맛이 죽여줘요~~
39,평점5,옥션,j*2*****,23.06.08.,"배송, 맛 좋습니다","배송, 맛 좋습니다"
40,평점5,옥션,n*m*****,23.06.08.,저렴하고 좋아요,저렴하고 좋아요
41,평점5,G마켓,j*s*****,23.06.08.,아주 좋아요,상품 잘 받았습니다. 매주 주문해서 마시는 막걸리 설명이 필요 없어요. 무조건 구매해서 마시면 됩니다.
42,평점5,인터파크쇼핑,y*w*****,23.06.08.,생각보다 달달하네요.,생각보다 달달해서 홀짝홀짝 마시기 좋습니다.
43,평점5,인터파크쇼핑,m*m*****,23.06.08.,맛있네요.,역시 막걸리는 느린마을 막걸리가 제일입니다.
44,평점5,G마켓,d*d*****,23.06.08.,좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요,좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요
45,평점4,AK몰,pian****,23.06.07.,"마음에 들지만, 여태 ...","마음에 들지만, 여태 당일 오전에 주문하면 다음날 오후에 받을수 있었으나 이번엔 주문이 좀 밀린건지..송장만 미리 뽑아놓구 다음날에 출고하신거 같았습니다. 이번만 예외로 주문이 너무 많아서 그러신거길 바라겠습니다."
46,평점5,옥션,오*션*****,23.06.07.,평소에 가장 좋아하는 느린마을막걸리를 주문해서 먹을수 ...,평소에 가장 좋아하는 느린마을막걸리를 주문해서 먹을수 있어서 너무 좋습니다
47,평점5,옥션,r*f*****,23.06.07.,전에는 프라스틱 컵 이었는데 유리컵이라 너무 좋았습니...,"전에는 프라스틱 컵 이었는데
유리컵이라 너무 좋았습니다
느린마을은 늘 맛있는 막걸리 입니다"
48,평점3,옥션,s*h*****,23.06.07.,배송이넝수느리고 많이떱텁하지만 맛은있네요,배송이넝수느리고 많이떱텁하지만 맛은있네요
49,평점4,옥션,m*v*****,23.06.07.,잘 받아서 먹고 있습니다 많이 파세요.,잘 받아서 먹고 있습니다 많이 파세요.
